Link,productName,image_key,price_usd,id_category
https://www.caretobeauty.com/us/lierac-premium-the-eye-cream-absolute-anti-aging-15ml/,Lierac Premium The Eye Cream Absolute Anti-Aging 20ml (0.67 fl oz),"https://static.beautytocare.com/cdn-cgi/image/w=590,h=590,sharpen=1,f=auto/media/catalog/product/l/i/lierac-premium-the-eye-cream-absolute-anti-aging-15ml_1.jpg",$67.72,34
https://www.caretobeauty.com/us/eveline-cosmetics-white-prestige-4d-active-whitening-eye-cream-20ml/,Eveline Cosmetics White Prestige 4D Active Whitening Eye Cream 20ml (0.7floz),"https://static.beautytocare.com/cdn-cgi/image/w=590,h=590,sharpen=1,f=auto/media/catalog/product/e/v/eveline-cosmetics-white-prestige-4d-active-whitening-eye-cream-20ml.jpg",$8.58,34
https://www.caretobeauty.com/us/ducray-melascreen-eye-contour-anti-spots-cream-15ml/,Ducray Melascreen Eye Contour Anti-Spots Cream 15ml (0.50 fl oz),"https://static.beautytocare.com/cdn-cgi/image/w=590,h=590,sharpen=1,f=auto/media/catalog/product/d/u/ducray-melascreen-eye-contour-anti-spots-cream-15ml.jpg",$26.68,34
https://www.caretobeauty.com/us/revolution-skincare-hyaluronic-acid-hydrating-eye-patches-x60/,Revolution Skincare Hyaluronic Acid Hydrating Eye Patches x60,"https://static.beautytocare.com/cdn-cgi/image/w=590,h=590,sharpen=1,f=auto/media/catalog/product/r/e/revolution-skincare-hyaluronic-acid-hydrating-eye-patches-x60.jpg",$21.92,34
https://www.caretobeauty.com/us/revolution-skincare-gold-hydrogel-hydrating-eye-patches-x60/,Revolution Skincare Gold Hydrogel Hydrating Eye Patches x60,"https://static.beautytocare.com/cdn-cgi/image/w=590,h=590,sharpen=1,f=auto/media/catalog/product/r/e/revolution-skincare-gold-hydrogel-hydrating-eye-patches-x60.jpg",$18.37,34
https://www.caretobeauty.com/us/revolution-skincare-vitamin-c-glow-eye-patches-x60/,Revolution Skincare Vitamin C Glow Eye Patches x60,"https://static.beautytocare.com/cdn-cgi/image/w=590,h=590,sharpen=1,f=auto/media/catalog/product/r/e/revolution-skincare-vitamin-c-glow-eye-patches-x60.jpg",$19.40,34
https://www.caretobeauty.com/us/apivita-queen-bee-absolute-anti-aging-reviving-eye-cream-15ml/,APIVITA Queen Bee Absolute Anti-Aging & Reviving Eye Cream 15ml (0.51fl oz),"https://static.beautytocare.com/cdn-cgi/image/w=590,h=590,sharpen=1,f=auto/media/catalog/product/a/p/apivita-queen-bee-absolute-anti-aging-reviving-eye-cream-15ml.jpg",$62.69,34
https://www.caretobeauty.com/us/tonymoly-propolis-tower-barrier-build-up-eye-ampoule-30ml/,TONYMOLY Propolis Tower Barrier Build Up Eye Ampoule 30ml (1.01fl oz),"https://static.beautytocare.com/cdn-cgi/image/w=590,h=590,sharpen=1,f=auto/media/catalog/product/t/o/tonymoly-propolis-tower-barrier-build-up-eye-ampoule-30ml.jpg",$33.36,34
https://www.caretobeauty.com/us/sensilis-upgrade-chrono-lift-eye-contour-15ml/,Sensilis Upgrade [Eyes] Eye Contour Concentrate Treatment 15ml (0.51fl oz),"https://static.beautytocare.com/cdn-cgi/image/w=590,h=590,sharpen=1,f=auto/media/catalog/product/s/e/sensilis-upgrade-chrono-lift-eye-contour-15ml-3.jpg",$52.81,34
https://www.caretobeauty.com/us/apivita-bee-radiant-signs-of-aging-anti-fatigue-eye-cream-15ml/,APIVITA Bee Radiant Signs Of Aging & Anti-Fatigue Eye Cream 15ml (0.51fl oz),"https://static.beautytocare.com/cdn-cgi/image/w=590,h=590,sharpen=1,f=auto/media/catalog/product/a/p/apivita-bee-radiant-signs-of-aging-anti-fatigue-eye-cream-15ml.jpg",$28.94,34
https://www.caretobeauty.com/us/revolution-skincare-bakuchiol-smoothing-eye-patches-x60/,Revolution Skincare Bakuchiol Smoothing Eye Patches x60,"https://static.beautytocare.com/cdn-cgi/image/w=590,h=590,sharpen=1,f=auto/media/catalog/product/r/e/revolution-skincare-bakuchiol-smoothing-eye-patches-x60_1.jpg",$16.44,34
https://www.caretobeauty.com/us/nivea-cellular-expert-filler-eye-lip-contour-cream-15ml/,Nivea Cellular Expert Filler Eye & Lip Contour Cream 15ml (0.51fl oz),"https://static.beautytocare.com/cdn-cgi/image/w=590,h=590,sharpen=1,f=auto/media/catalog/product/n/i/nivea-expert-filler-cellular-eye-lip-contour-cream-15ml.jpg",$32.72,34
https://www.caretobeauty.com/us/martiderm-platinum-expression-gel-eyes-lips-contour-15ml/,Martiderm Platinum Expression Gel Eyes&Lips Contour 15ml (0.51fl oz),"https://static.beautytocare.com/cdn-cgi/image/w=590,h=590,sharpen=1,f=auto/media/catalog/product/m/a/martiderm-platinum-expression-gel-eyes-lips-contour-15ml.jpg",$53.43,34
https://www.caretobeauty.com/us/embryolisse-smoothing-eye-contour-care-15ml/,Embryolisse Smoothing Eye Contour Care 15ml (0.5floz),"https://static.beautytocare.com/cdn-cgi/image/w=590,h=590,sharpen=1,f=auto/media/catalog/product/e/m/embryolisse-smoothing-eye-contour-care-15ml.png",$24.98,34
https://www.caretobeauty.com/us/clarinsmen-line-control-eye-balm-20ml-2022/,ClarinsMen Line-Control Eye Balm 20ml,"https://static.beautytocare.com/cdn-cgi/image/w=590,h=590,sharpen=1,f=auto/media/catalog/product/c/l/clarinsmen-line-control-eye-balm-20ml-2022.jpg",$65.16,34
https://www.caretobeauty.com/us/madara-smart-anti-fatigue-eye-rescue-cream-15ml/,Mádara Smart Anti-Fatigue Eye Rescue Cream 15ml (0.51fl oz),"https://static.beautytocare.com/cdn-cgi/image/w=590,h=590,sharpen=1,f=auto/media/catalog/product/m/a/madara-smart-anti-fatigue-eye-rescue-cream-15ml.jpg",$43.37,34
https://www.caretobeauty.com/us/galenic-ophycee-smoothing-eye-cream-15ml/,Galénic Ophycée Smoothing Eye Cream 15ml (0.51floz),"https://static.beautytocare.com/cdn-cgi/image/w=590,h=590,sharpen=1,f=auto/media/catalog/product/g/a/galenic-ophycee-smoothing-eye-cream-15ml.jpg",$58.90,34
https://www.caretobeauty.com/us/la-roche-posay-hyalu-b5-eyes-15ml/,La Roche-Posay Hyalu B5 Eyes 15ml (0.51fl oz),"https://static.beautytocare.com/cdn-cgi/image/w=590,h=590,sharpen=1,f=auto/media/catalog/product/l/a/la-roche-posay-hyalu-b5-eyes-15ml_1.jpg",$43.53,34
https://www.caretobeauty.com/us/schaebens-lovely-rose-eye-gel-pads-x2/,Schaebens Lovely Rose Eye Gel-Pads x2,"https://static.beautytocare.com/cdn-cgi/image/w=590,h=590,sharpen=1,f=auto/media/catalog/product/s/c/schaebens-lovely-rose-eye-gel-pads-x2.jpg",$3.08,34
https://www.caretobeauty.com/us/bioten-hyaluronic-gold-hydrogel-eye-patches-x1-pair/,bioten Hyaluronic Gold Hydrogel Eye Patches x1 Pair,"https://static.beautytocare.com/cdn-cgi/image/w=590,h=590,sharpen=1,f=auto/media/catalog/product/b/i/bioten-hyaluronic-gold-hydrogel-eye-patches-x1-pair.jpg",$4.85,34
https://www.caretobeauty.com/us/talika-eye-therapy-reusable-smoothing-instant-patch/,Talika Eye Therapy Reusable Smoothing Instant Patch,"https://static.beautytocare.com/cdn-cgi/image/w=590,h=590,sharpen=1,f=auto/media/catalog/product/t/a/talika-eye-therapy-reusable-smoothing-instant-patch-x1_1.png",$11.16,34
https://www.caretobeauty.com/us/talika-bio-enzymes-ultra-hydrating-eye-patch-x1/,Talika Bio Enzymes Ultra-Hydrating Eye Patch x1,"https://static.beautytocare.com/cdn-cgi/image/w=590,h=590,sharpen=1,f=auto/media/catalog/product/t/a/talika-bio-enzymes-ultra-hydrating-eye-patch-x1.png",$5.95,34
https://www.caretobeauty.com/us/clarins-my-clarins-re-fresh-fatigue-fighter-eye-care-50ml/,Clarins My Clarins Re-Fresh Fatigue-Fighter Eye Care 50ml (0.5 fl oz),"https://static.beautytocare.com/cdn-cgi/image/w=590,h=590,sharpen=1,f=auto/media/catalog/product/c/l/clarins-my-clarins-re-fresh-fatigue-fighter-eye-care-50ml.png",$30.40,34
